Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11
Valparaiso,5,Hijuelas,5503,19099,0,0,0,1,0,0,0,0,0,0
Valparaiso,5,Isla de Pascua,5201,8277,3,1,0,0,0,0,0,0,0,0
Valparaiso,5,Juan Fernandez,5104,1033,0,0,0,0,0,0,0,0,0,0
Valparaiso,5,La Cruz,5504,25321,3,2,2,2,0,0,1,2,6,8
Valparaiso,5,La Ligua,5401,37739,1,0,0,0,0,0,0,1,1,1
Valparaiso,5,Limache,5802,49931,6,8,11,11,11,4,0,0,2,5
Valparaiso,5,Llaillay,5703,26533,0,0,0,0,0,0,2,2,2,2
Valparaiso,5,Los Andes,5301,68093,3,4,4,4,1,0,2,2,8,16
Valparaiso,5,Nogales,5506,23490,0,0,0,0,0,0,0,0,0,1
Valparaiso,5,Olmue,5803,19266,1,1,2,0,0,0,0,0,0,0
Valparaiso,5,Panquehue,5704,7633,0,0,0,0,0,0,0,0,0,0
Valparaiso,5,Papudo,5403,6201,0,0,0,0,0,0,0,0,0,0
Valparaiso,5,Petorca,5404,10558,1,0,0,0,0,0,0,0,0,1
Valparaiso,5,Puchuncavi,5105,20071,0,0,0,0,0,0,0,0,0,0
Valparaiso,5,Putaendo,5705,17645,0,1,1,4,3,2,1,1,2,5
Valparaiso,5,Quillota,5501,97572,5,5,6,4,2,2,3,4,5,6
Valparaiso,5,Quilpue,5801,167085,7,5,5,5,4,3,9,8,12,15
Valparaiso,5,Quintero,5107,36135,0,0,0,0,3,6,4,1,4,4
Valparaiso,5,Rinconada,5303,11263,2,2,2,1,1,0,0,0,0,0
Valparaiso,5,San Antonio,5601,96761,10,8,17,16,20,20,27,34,57,48
Valparaiso,5,San Esteban,5304,20643,0,0,0,1,1,3,2,2,2,5
Valparaiso,5,San Felipe,5701,83494,1,0,0,0,0,0,3,2,4,7
Valparaiso,5,Santa Maria,5706,16367,0,0,0,0,0,0,11,13,12,9
Valparaiso,5,Santo Domingo,5606,11934,2,6,5,4,5,3,4,5,3,3
Valparaiso,5,Valparaiso,5101,315732,15,12,15,18,16,11,34,40,83,78
Valparaiso,5,Villa Alemana,5804,139310,1,1,1,0,1,2,3,5,18,25
Valparaiso,5,Vina del Mar,5109,361371,15,12,14,18,17,17,23,29,51,69
Valparaiso,5,Zapallar,5405,7994,0,0,0,0,0,0,0,0,0,0
Valparaiso,5,Total,,1960170,86,81,98,107,109,100,157,174,299,341
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0
Metropolitana,13,Buin,13402,109641,15,13,12,17,16,16,27,33,46,68
Metropolitana,13,Calera de Tango,13403,28525,1,0,1,5,5,5,3,1,5,7
Metropolitana,13,Cerrillos,13102,88956,13,18,23,19,24,29,66,169,200,186
Metropolitana,13,Cerro Navia,13103,142465,26,28,40,53,51,50,76,103,125,167
Metropolitana,13,Colina,13301,180353,20,15,15,17,16,20,35,48,105,149
Metropolitana,13,Conchali,13104,139195,24,26,28,35,37,49,75,150,199,208
Metropolitana,13,Curacavi,13503,36430,6,4,4,2,0,0,4,8,9,15
Metropolitana,13,El Bosque,13105,172000,47,42,51,57,51,66,93,114,175,200
Metropolitana,13,El Monte,13602,40014,8,4,6,3,2,4,9,8,10,9
Metropolitana,13,Estacion Central,13106,206792,34,39,41,53,66,95,177,252,277,303
Metropolitana,13,Huechuraba,13107,112528,19,21,22,21,22,19,35,55,108,120
Metropolitana,13,Independencia,13108,142065,27,28,44,68,127,159,257,354,424,440
Metropolitana,13,Isla de Maipo,13603,40171,7,5,3,1,0,2,3,4,3,6
Metropolitana,13,La Cisterna,13109,100434,21,24,23,28,26,30,52,64,92,114
Metropolitana,13,La Florida,13110,402433,72,62,77,78,82,112,166,262,427,554
Metropolitana,13,La Granja,13111,122557,26,22,20,24,22,33,60,107,155,184
Metropolitana,13,La Pintana,13112,189335,34,38,44,55,53,96,126,156,228,237
Metropolitana,13,La Reina,13113,100252,15,13,12,10,7,24,42,66,83,87
Metropolitana,13,Lampa,13302,126898,18,17,14,12,16,23,38,49,86,86
Metropolitana,13,Las Condes,13114,330759,47,38,37,34,41,37,80,133,235,287
Metropolitana,13,Lo Barnechea,13115,124076,23,25,38,47,41,46,73,92,165,171
Metropolitana,13,Lo Espejo,13116,103865,37,33,33,30,23,40,57,75,104,117
Metropolitana,13,Lo Prado,13117,104403,18,14,26,34,34,48,95,118,127,138
Metropolitana,13,Macul,13118,134635,15,9,13,16,32,45,62,89,146,180
Metropolitana,13,Maipu,13119,578605,81,81,102,108,103,118,144,195,260,323
Metropolitana,13,Maria Pinto,13504,14926,0,0,1,0,0,0,2,2,0,0
Metropolitana,13,Melipilla,13501,141612,5,7,12,19,20,24,36,63,60,52
Metropolitana,13,Nunoa,13120,250192,60,64,78,71,73,83,70,92,125,142
Metropolitana,13,Padre Hurtado,13604,74188,11,9,10,11,6,9,22,25,33,37
Metropolitana,13,Paine,13404,82766,5,5,6,4,4,3,7,12,31,35
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,34,44,47,42,36,48,81,112,130,147
Metropolitana,13,Penaflor,13605,101058,9,8,9,14,17,22,29,32,29,29
Metropolitana,13,Penalolen,13122,266798,61,54,65,73,72,96,124,182,284,436
Metropolitana,13,Pirque,13202,30433,5,6,5,5,4,6,17,27,25,25
Metropolitana,13,Providencia,13123,157749,27,22,29,41,39,29,38,53,99,138
Metropolitana,13,Pudahuel,13124,253139,39,35,39,42,40,56,96,127,165,208
Metropolitana,13,Puente Alto,13201,645909,179,169,220,245,263,266,250,398,533,647
Metropolitana,13,Quilicura,13125,254694,49,45,48,45,59,113,217,278,351,287
Metropolitana,13,Quinta Normal,13126,136368,45,51,62,66,66,60,111,132,153,187
Metropolitana,13,Recoleta,13127,190075,39,34,51,63,86,116,252,387,534,514
Metropolitana,13,Renca,13128,160847,20,26,42,52,68,72,84,133,166,181
Metropolitana,13,San Bernardo,13401,334836,81,77,105,108,143,162,160,214,268,301
Metropolitana,13,San Joaquin,13129,103485,24,26,40,45,47,59,71,136,216,267
Metropolitana,13,San Jose de Maipo,13203,18644,1,1,1,1,2,3,7,16,23,29
Metropolitana,13,San Miguel,13130,133059,40,39,46,57,48,55,65,90,153,174
Metropolitana,13,San Pedro,13505,11953,0,0,0,1,2,2,7,8,5,3
Metropolitana,13,San Ramon,13131,86510,8,14,15,21,37,55,86,146,198,198
Metropolitana,13,Santiago,13101,503147,169,138,162,149,176,203,387,608,783,809
Metropolitana,13,Talagante,13601,81838,9,9,8,8,9,7,8,10,14,28
Metropolitana,13,Tiltil,13303,21477,1,1,1,1,1,1,2,5,3,2
Metropolitana,13,Vitacura,13132,96774,19,11,8,8,5,11,23,29,68,99
Metropolitana,13,Total,,8125072,1595,1620,1839,2019,2220,2727,4107,6022,8243,9331
Del Libertador General Bernardo O’Higgins,6,Chepica,6302,15925,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Chimbarongo,6303,37696,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Codegua,6102,14096,0,0,0,0,0,0,1,1,0,1
Del Libertador General Bernardo O’Higgins,6,Coinco,6103,7831,0,0,0,0,1,1,1,1,1,1
Del Libertador General Bernardo O’Higgins,6,Coltauco,6104,21263,0,0,0,0,0,0,0,0,1,3
Del Libertador General Bernardo O’Higgins,6,Donihue,6105,22700,0,0,0,0,1,1,2,1,3,5
Del Libertador General Bernardo O’Higgins,6,Graneros,6106,36504,0,0,0,0,2,2,2,1,8,15
Del Libertador General Bernardo O’Higgins,6,La Estrella,6202,3114,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Las Cabras,6107,26749,0,1,1,0,2,2,3,7,4,2
Del Libertador General Bernardo O’Higgins,6,Litueche,6203,6765,0,0,0,0,1,3,6,7,2,2
Del Libertador General Bernardo O’Higgins,6,Lolol,6304,7289,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Machali,6108,59913,0,0,1,3,8,5,5,4,4,5
Del Libertador General Bernardo O’Higgins,6,Malloa,6109,14163,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Marchihue,6204,7632,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Mostazal,6110,27462,0,0,0,0,0,0,0,1,1,3
Del Libertador General Bernardo O’Higgins,6,Nancagua,6305,19141,0,0,0,0,0,0,1,1,1,2
Del Libertador General Bernardo O’Higgins,6,Navidad,6205,6904,0,0,0,0,0,0,2,2,1,1
Del Libertador General Bernardo O’Higgins,6,Olivar,6111,14624,3,4,3,3,1,0,0,0,0,1
Del Libertador General Bernardo O’Higgins,6,Palmilla,6306,13299,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Paredones,6206,6349,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Peralillo,6307,11848,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Peumo,6112,14952,0,0,0,0,0,0,1,1,2,1
Del Libertador General Bernardo O’Higgins,6,Pichidegua,6113,20743,0,0,0,0,0,0,0,0,1,1
Del Libertador General Bernardo O’Higgins,6,Pichilemu,6201,17882,0,0,0,0,0,0,0,0,0,1
Del Libertador General Bernardo O’Higgins,6,Placilla,6308,9164,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Pumanque,6309,3531,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Quinta de Tilcoco,6114,13877,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,6,Rancagua,6101,265211,3,3,3,1,8,11,15,18,29,45
Del Libertador General Bernardo O’Higgins,6,Rengo,6115,63710,0,0,0,0,1,5,5,6,5,3
Del Libertador General Bernardo O’Higgins,6,Requinoa,6116,30371,0,0,0,0,1,2,2,2,2,1
Del Libertador General Bernardo O’Higgins,6,San Fernando,6301,78642,1,1,1,2,2,2,1,1,2,1
Del Libertador General Bernardo O’Higgins,6,San Vicente,6117,50617,1,0,0,0,0,0,4,5,5,6
Del Libertador General Bernardo O’Higgins,6,Santa Cruz,6310,41096,1,0,0,0,1,1,0,0,0,1
Del Libertador General Bernardo O’Higgins,6,Total,,991063,9,9,9,9,29,35,51,59,72,101
Maule,7,Cauquenes,7201,44143,2,2,4,5,6,6,3,2,0,1
Maule,7,Chanco,7202,9331,0,0,0,1,1,2,1,1,0,0
Maule,7,Colbun,7402,22565,2,1,0,0,0,0,0,0,0,3
Maule,7,Constitucion,7102,50348,1,1,5,5,11,8,3,5,3,1
Maule,7,Curepto,7103,9426,3,2,4,4,4,3,0,0,0,1
Maule,7,Curico,7301,163626,8,8,12,15,10,9,11,6,8,11
Maule,7,Empedrado,7104,4206,0,0,0,0,0,0,0,0,0,0
Maule,7,Hualane,7302,10222,0,0,0,0,0,0,0,0,0,0
Maule,7,Licanten,7303,6989,0,0,1,1,1,1,0,0,0,0
Maule,7,Linares,7401,101073,5,3,7,8,8,4,4,3,6,7
Maule,7,Longavi,7403,32810,0,0,0,1,1,1,0,0,2,3
Maule,7,Maule,7105,60000,2,2,5,9,16,12,2,1,2,1
Maule,7,Molina,7304,49800,0,0,0,1,3,2,0,0,1,2
Maule,7,Parral,7404,44544,2,2,2,1,2,1,1,0,0,0
Maule,7,Pelarco,7106,9083,3,3,5,5,2,0,0,0,1,3
Maule,7,Pelluhue,7203,8092,0,0,0,0,0,0,0,0,0,0
Maule,7,Pencahue,7107,8601,0,0,1,2,3,2,0,0,0,0
Maule,7,Rauco,7305,11248,1,1,1,0,0,0,0,0,0,0
Maule,7,Retiro,7405,21071,1,1,2,2,0,0,0,0,1,1
Maule,7,Rio Claro,7108,14753,2,2,4,3,3,1,2,2,1,0
Maule,7,Romeral,7306,16170,0,0,1,8,9,9,1,0,0,0
Maule,7,Sagrada Familia,7307,19469,1,1,0,0,1,1,1,0,0,0
Maule,7,San Clemente,7109,46292,0,0,4,6,8,6,2,1,5,9
Maule,7,San Javier,7406,49451,6,5,4,6,10,5,4,3,3,3
Maule,7,San Rafael,7110,9959,1,1,1,1,1,1,0,0,1,1
Maule,7,Talca,7101,236724,7,10,47,76,82,72,24,15,6,5
Maule,7,Teno,7308,30850,1,1,1,1,0,0,2,2,3,2
Maule,7,Vichuquen,7309,4381,0,0,0,0,0,0,0,0,0,0
Maule,7,Villa Alegre,7407,17512,0,0,0,1,1,1,1,0,0,0
Maule,7,Yerbas Buenas,7408,19200,0,0,0,1,0,0,1,1,1,1
Maule,7,Total,,1131939,48,46,111,163,183,147,63,42,44,55
Nuble,16,Bulnes,16102,22607,13,9,6,7,8,7,3,11,14,13
Nuble,16,Chillan,16101,198624,79,61,51,35,37,31,19,18,13,20
Nuble,16,Chillan Viejo,16103,33827,13,11,7,9,3,3,1,0,0,2
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,2,0,0,0,0,0,0,0,0,0
Nuble,16,Coihueco,16302,28375,6,4,5,12,13,12,13,10,5,2
Nuble,16,El Carmen,16104,12334,1,1,1,0,0,0,0,0,0,1
Nuble,16,Ninhue,16204,5414,2,2,2,2,2,1,0,0,0,0
Nuble,16,Niquen,16303,11567,2,2,2,2,0,0,0,0,0,0
Nuble,16,Pemuco,16105,8639,3,2,1,1,1,0,0,0,0,1
Nuble,16,Pinto,16106,11880,5,4,3,2,2,1,0,0,0,0
Nuble,16,Portezuelo,16205,4940,1,0,0,0,0,0,0,0,0,0
Nuble,16,Quillon,16107,18777,5,0,0,1,0,1,3,4,2,3
Nuble,16,Quirihue,16201,12192,2,0,0,0,1,1,1,0,0,4
Nuble,16,Ranquil,16206,6261,5,2,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,12,10,5,4,3,5,4,3,2,6
Nuble,16,San Fabian,16304,4654,1,1,1,0,1,1,0,0,0,0
Nuble,16,San Ignacio,16108,16624,1,1,1,0,1,1,2,3,3,2
Nuble,16,San Nicolas,16305,12172,5,6,4,3,2,0,0,0,0,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,25,17,13,4,3,4,5,8,4,1
Nuble,16,Total,,511551,183,133,102,82,77,68,51,57,43,55
Biobio,8,Alto Biobio,8314,6775,0,0,0,0,0,0,0,0,0,0
Biobio,8,Antuco,8302,4306,0,0,0,0,0,0,0,0,1,2
Biobio,8,Arauco,8202,38679,2,0,0,0,0,0,0,0,5,9
Biobio,8,Cabrero,8303,30725,7,4,5,3,6,8,6,2,6,4
Biobio,8,Canete,8203,37003,0,0,0,0,0,0,0,0,1,0
Biobio,8,Chiguayante,8103,91180,27,13,8,7,16,13,11,11,8,8
Biobio,8,Concepcion,8101,238092,22,46,42,33,32,23,19,9,23,33
Biobio,8,Contulmo,8204,6330,0,0,0,0,0,0,0,0,0,0
Biobio,8,Coronel,8102,125829,9,2,2,1,0,2,5,4,7,7
Biobio,8,Curanilahue,8205,33892,0,0,0,0,1,1,0,0,2,2
Biobio,8,Florida,8104,11841,0,1,0,0,0,0,0,0,0,0
Biobio,8,Hualpen,8112,97273,67,24,18,15,13,11,3,4,9,10
Biobio,8,Hualqui,8105,26201,4,5,6,5,10,7,2,0,0,1
Biobio,8,Laja,8304,23873,0,1,1,1,4,6,6,5,3,11
Biobio,8,Lebu,8201,27100,0,0,0,0,0,0,0,0,0,2
Biobio,8,Los Alamos,8206,22524,0,0,0,0,1,0,0,0,0,0
Biobio,8,Los Angeles,8301,218515,4,1,2,4,3,3,2,0,2,13
Biobio,8,Lota,8106,45750,0,0,0,0,0,0,0,1,8,12
Biobio,8,Mulchen,8305,31041,0,0,0,0,0,0,0,1,2,4
Biobio,8,Nacimiento,8306,27944,4,5,3,2,1,0,0,2,5,9
Biobio,8,Negrete,8307,10429,2,2,0,0,0,0,0,0,0,3
Biobio,8,Penco,8107,49865,5,5,6,7,9,7,2,2,2,1
Biobio,8,Quilaco,8308,4179,0,0,0,0,0,0,0,0,0,0
Biobio,8,Quilleco,8309,10032,0,0,0,1,1,0,0,0,0,0
Biobio,8,San Pedro de la Paz,8108,145906,29,17,14,13,15,10,3,5,6,9
Biobio,8,San Rosendo,8310,3611,0,0,0,0,0,0,0,0,0,0
Biobio,8,Santa Barbara,8311,14592,0,0,0,0,0,0,0,0,0,0
Biobio,8,Santa Juana,8109,14779,0,0,0,0,1,1,1,0,0,0
Biobio,8,Talcahuano,8110,158345,17,31,22,28,24,24,23,27,22,27
Biobio,8,Tirua,8207,11019,1,0,0,0,0,0,0,0,0,0
Biobio,8,Tome,8111,58729,27,17,14,10,12,10,3,1,1,14
Biobio,8,Tucapel,8312,15205,1,0,1,0,0,0,0,0,0,0
Biobio,8,Yumbel,8313,22132,0,0,0,1,1,1,0,1,4,6
Biobio,8,Total,,1663696,233,174,144,131,150,127,86,75,117,187
La Araucania,9,Angol,9201,56058,12,17,14,25,34,38,41,29,18,14
La Araucania,9,Carahue,9102,25486,14,15,14,12,10,6,2,4,3,2
La Araucania,9,Cholchol,9121,12341,0,0,1,1,1,0,0,0,0,0
La Araucania,9,Collipulli,9202,26148,1,1,0,1,0,1,2,2,0,0
La Araucania,9,Cunco,9103,18055,1,2,1,0,0,0,0,0,1,1
La Araucania,9,Curacautin,9203,18178,3,2,2,0,1,1,1,2,1,1
La Araucania,9,Curarrehue,9104,7802,0,0,0,0,0,0,0,0,0,0
La Araucania,9,Ercilla,9204,8458,3,2,3,4,5,4,4,1,1,0
La Araucania,9,Freire,9105,25446,0,0,0,1,2,2,0,0,0,2
La Araucania,9,Galvarino,9106,12633,1,0,0,0,0,0,0,0,1,1
La Araucania,9,Gorbea,9107,15148,1,0,1,1,2,2,1,0,1,1
La Araucania,9,Lautaro,9108,40746,13,10,4,7,5,7,2,2,7,15
La Araucania,9,Loncoche,9109,24739,4,3,3,3,0,1,5,4,2,3
La Araucania,9,Lonquimay,9205,11049,0,0,0,0,0,0,0,0,5,7
La Araucania,9,Los Sauces,9206,7517,0,0,0,0,0,0,0,0,0,0
La Araucania,9,Lumaco,9207,10050,0,0,0,0,0,1,5,2,1,1
La Araucania,9,Melipeuco,9110,6265,0,0,0,0,0,0,0,0,0,0
La Araucania,9,Nueva Imperial,9111,33777,8,11,11,12,9,8,4,3,2,4
La Araucania,9,Padre Las Casas,9112,82110,19,15,11,20,16,21,12,8,2,1
La Araucania,9,Perquenco,9113,7223,1,0,1,3,3,2,0,0,0,0
La Araucania,9,Pitrufquen,9114,26096,4,3,0,1,1,1,0,0,0,0
La Araucania,9,Pucon,9115,29782,1,2,5,2,1,3,2,1,2,1
La Araucania,9,Puren,9208,12188,0,0,0,0,0,0,1,1,1,2
La Araucania,9,Renaico,9209,10833,1,1,0,1,2,2,0,1,6,6
La Araucania,9,Saavedra,9116,12793,0,0,1,6,11,6,13,17,15,18
La Araucania,9,Temuco,9101,302931,150,119,106,113,83,59,38,29,35,48
La Araucania,9,Teodoro Schmidt,9117,15786,1,1,1,0,1,1,0,0,0,0
La Araucania,9,Tolten,9118,10055,3,1,0,0,0,0,0,0,0,0
La Araucania,9,Traiguen,9210,19314,2,1,1,1,1,1,0,0,0,0
La Araucania,9,Victoria,9211,35467,6,1,1,15,39,40,35,25,15,6
La Araucania,9,Vilcun,9119,30766,10,8,6,8,4,2,4,3,6,3
La Araucania,9,Villarrica,9120,59103,5,5,3,1,0,0,1,1,1,2
La Araucania,9,Total,,1014343,301,223,213,238,231,209,173,135,126,139
Los Rios,14,Corral,14102,5447,0,1,1,1,1,0,0,0,1,2
Los Rios,14,Futrono,14202,15261,1,0,0,0,0,0,0,0,0,0
Los Rios,14,La Union,14201,39538,9,6,6,6,5,7,5,6,3,2
Los Rios,14,Lago Ranco,14203,10292,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Lanco,14103,17652,1,2,2,1,1,1,1,1,3,2
Los Rios,14,Los Lagos,14104,20518,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Mafil,14105,7389,0,0,0,0,1,1,0,0,0,0
Los Rios,14,Mariquina,14106,23250,6,3,1,0,0,0,0,0,0,2
Los Rios,14,Paillaco,14107,20798,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Panguipulli,14108,35991,1,0,0,1,0,0,0,0,0,0
Los Rios,14,Rio Bueno,14204,32925,4,1,1,1,1,2,4,3,1,1
Los Rios,14,Valdivia,14101,176774,25,21,18,15,8,5,5,10,7,3
Los Rios,14,Total,,405835,47,34,29,25,17,16,15,20,15,12
Los Lagos,10,Ancud,10202,42458,3,3,3,8,5,4,2,6,13,37
Los Lagos,10,Calbuco,10102,36744,2,0,1,1,1,1,0,0,0,1
Los Lagos,10,Castro,10201,47607,5,4,3,0,0,0,1,0,0,0
Los Lagos,10,Chaiten,10401,5020,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Chonchi,10203,16013,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Cochamo,10103,4006,0,0,1,1,0,0,0,0,0,0
Los Lagos,10,Curaco de Velez,10204,4066,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Dalcahue,10205,15069,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Fresia,10104,12656,0,0,0,1,0,0,0,0,0,0
Los Lagos,10,Frutillar,10105,20223,4,4,2,2,0,0,0,0,0,0
Los Lagos,10,Futaleufu,10402,2806,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Hualaihue,10403,9525,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Llanquihue,10107,18621,1,0,1,0,0,0,0,0,0,5
Los Lagos,10,Los Muermos,10106,17817,0,0,0,0,0,0,0,0,0,1
Los Lagos,10,Maullin,10108,14894,1,1,2,1,0,0,0,0,0,0
Los Lagos,10,Osorno,10301,173410,63,44,39,34,27,24,23,25,22,24
Los Lagos,10,Palena,10404,1827,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Puerto Montt,10101,269398,11,10,7,8,5,4,1,0,0,2
Los Lagos,10,Puerto Octay,10302,9192,0,0,0,0,1,3,3,0,2,2
Los Lagos,10,Puerto Varas,10109,48620,4,3,4,2,0,0,0,0,0,0
Los Lagos,10,Puqueldon,10206,4201,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Purranque,10303,21080,13,8,5,2,1,1,2,2,5,4
Los Lagos,10,Puyehue,10304,11787,1,0,0,0,0,1,2,1,2,2
Los Lagos,10,Queilen,10207,5543,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quellon,10208,29309,0,0,0,0,0,0,0,1,1,1
